,A,dec,jan,feb,s_bar,sq1,sq2,sq3,num,final
0,21563,0.0,0.124017726028948,0.0875838285377977,0.07053385152224857,0.004975024210562607,0.0028605248322483737,0.00029070171623075345,0.0027087502530139113,0.03840354942420076
1,21564,0.0,0.124017726028948,0.0875838285377977,0.07053385152224857,0.004975024210562607,0.0028605248322483737,0.00029070171623075345,0.0027087502530139113,0.03840354942420076
2,21565,0.0085917409885004,0.147253387706187,0.0909633230604411,0.08226948391837617,0.0054284098032408605,0.004222907751503456,7.558283902810018e-05,0.003242300131257472,0.03941072651524503
3,21566,0.0,0.125673605862388,0.0909633230604411,0.07221230964094304,0.005214617663679435,0.002858110193677084,0.00035160050425819627,0.002808109453871572,0.038886852779452245
4,21567,0.0,0.125673605862388,0.0909633230604411,0.07221230964094304,0.005214617663679435,0.002858110193677084,0.00035160050425819627,0.002808109453871572,0.038886852779452245
5,21568,0.0,0.124017726028948,0.0909633230604411,0.07166034969646302,0.005135205718619368,0.0027412948564214585,0.00037260478069044687,0.002749701785243758,0.03837131407941589
6,21569,0.0,0.125673605862388,0.0909633230604411,0.07221230964094304,0.005214617663679435,0.002858110193677084,0.00035160050425819627,0.002808109453871572,0.038886852779452245
7,21570,0.0,0.127315234076564,0.0909633230604411,0.07275951904566837,0.005293947611756978,0.0029763260425322924,0.00033137848060825573,0.0028672173782991754,0.03940676650844177
8,21571,0.0,0.127315234076564,0.0875838285377977,0.0716330208714539,0.0051312896791701505,0.003100508867419338,0.00025442826520869204,0.0028287422705993936,0.03948936169641089
9,21572,0.0,0.125673605862388,0.0875838285377977,0.07108581146672856,0.005053192591883277,0.0029798272969827873,0.0002721845672772888,0.002768401485381118,0.038944501416810266
10,21573,0.0085917409885004,0.125673605862388,0.0875838285377977,0.07394972512956204,0.0042716660909832655,0.0026753598380636037,0.0001858887757464633,0.002377638234931111,0.03215209023110527
11,21574,0.0,0.125673605862388,0.0875838285377977,0.07108581146672856,0.005053192591883277,0.0029798272969827873,0.0002721845672772888,0.002768401485381118,0.038944501416810266
12,21575,0.0,0.122347345692846,0.0875838285377977,0.06997705807688123,0.004896788657095209,0.0027426470249788727,0.0003099983660634006,0.0026498113493791608,0.03786685839904716
13,21576,0.0,0.122347345692846,0.0875838285377977,0.06997705807688123,0.004896788657095209,0.0027426470249788727,0.0003099983660634006,0.0026498113493791608,0.03786685839904716
14,21577,0.0,0.124017726028948,0.0875838285377977,0.07053385152224857,0.004975024210562607,0.0028605248322483737,0.00029070171623075345,0.0027087502530139113,0.03840354942420076
15,21578,0.0611994227983152,0.124017726028948,0.0875838285377977,0.09093365912168698,0.0008841248097341217,0.0010945554831241241,1.122136494076001e-05,0.0006633005525996686,0.007294334782151932
16,21579,0.0,0.124017726028948,0.0875838285377977,0.07053385152224857,0.004975024210562607,0.0028605248322483737,0.00029070171623075345,0.0027087502530139113,0.03840354942420076
17,21580,0.0,0.122347345692846,0.0841395531910684,0.06882896629463814,0.004737426601188433,0.0028642169334105196,0.0002344140711131421,0.0026120192019040314,0.037949417847170416
