A,jun,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may
21563,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.281544065119227
21564,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.303625857925339
21565,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21566,0.217322011273649,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21567,0,0,0,0,0,0.0669144016174814,0,0.0234541243963882,0,0.0539614530501749,0.0515300417060205,0.253422761032058
21568,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21569,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21570,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21571,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21572,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21573,0.292285253238629,0,0.217322011273649,0,0,0.0669144016174814,0,0.0150757992412548,0.0172968886285854,0,0.0515300417060205,0.253422761032058
21574,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21575,0,0.276434590943675,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21576,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21577,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0810218243970783,0.253422761032058
21578,0,0,0,0,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
21579,0,0.276434590943675,0,0.244219050288215,0,0.0669144016174814,0,0.0150757992412548,0,0,0.0515300417060205,0.253422761032058
