,A,jul,aug,s_bar,sq1,sq2,num,final
0,21563,0.0,0.0,0.0,0.0,0.0,0.0,
1,21564,0.0,0.0,0.0,0.0,0.0,0.0,
2,21565,0.0,0.0,0.0,0.0,0.0,0.0,
3,21566,0.0,0.0,0.0,0.0,0.0,0.0,
4,21567,0.0,0.0,0.0,0.0,0.0,0.0,
5,21568,0.0,0.0,0.0,0.0,0.0,0.0,
6,21569,0.0,0.0,0.0,0.0,0.0,0.0,
7,21570,0.0,0.0,0.0,0.0,0.0,0.0,
8,21571,0.0,0.0,0.0,0.0,0.0,0.0,
9,21572,0.0,0.0,0.0,0.0,0.0,0.0,
10,21573,0.0,0.217322011273649,0.1086610056368245,0.011807214146006006,0.011807214146006006,0.011807214146006006,0.1086610056368245
11,21574,0.0,0.0,0.0,0.0,0.0,0.0,
12,21575,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
13,21576,0.0,0.0,0.0,0.0,0.0,0.0,
14,21577,0.0,0.0,0.0,0.0,0.0,0.0,
15,21578,0.0,0.0,0.0,0.0,0.0,0.0,
16,21579,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
17,21580,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
18,21581,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
19,21582,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
20,21583,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
21,21584,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
22,21585,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
23,21586,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
24,21587,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
25,21588,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
26,21589,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
27,21590,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
28,21591,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
29,21592,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
30,21593,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
31,21594,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
32,21595,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
33,21596,0.276434590943675,0.412697251504221,0.344565921223948,0.004641878165759647,0.004641878165759639,0.0046418781657596424,0.013471669366694824
34,21597,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
35,21598,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
36,21599,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
37,21600,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
38,21601,0.276434590943675,0.0,0.1382172954718375,0.019104020767549232,0.019104020767549232,0.019104020767549232,0.1382172954718375
