,A,nov,dec,jan,s_bar,sq1,sq2,sq3,num,final
0,21563,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
1,21564,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
2,21565,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
3,21566,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
4,21567,0.0669144016174814,0,0.0234541243963882,0.0301228420046232,0.0013536188587465,0.000907385610435492,4.44717945383836E-05,0.000768492087906791,0.025511938341968
5,21568,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
6,21569,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
7,21570,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
8,21571,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
9,21572,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
10,21573,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
11,21574,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
12,21575,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
13,21576,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
14,21577,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
15,21578,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
16,21579,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
17,21580,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
18,21581,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
19,21582,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
20,21583,0.0669144016174814,0,0.0083852077072616,0.0250998697749143,0.00174845507321305,0.000630003462717658,0.000279379928035829,0.000885946154655514,0.0352968426768875
21,21584,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
22,21585,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
23,21586,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
24,21587,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
25,21588,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
26,21589,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
27,21590,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
28,21591,0.0669144016174814,0,0.0150757992412548,0.0273300669529121,0.00156691955083663,0.000746932559650656,0.000150167077148966,0.000821339729212082,0.030052605821537
29,21592,0.0669144016174814,0,0.0083852077072616,0.0250998697749143,0.00174845507321305,0.000630003462717658,0.000279379928035829,0.000885946154655514,0.0352968426768875
30,21593,0.0669144016174814,0,0.0083852077072616,0.0250998697749143,0.00174845507321305,0.000630003462717658,0.000279379928035829,0.000885946154655514,0.0352968426768875
31,21594,0.0669144016174814,0,0.0083852077072616,0.0250998697749143,0.00174845507321305,0.000630003462717658,0.000279379928035829,0.000885946154655514,0.0352968426768875
32,21595,0.0669144016174814,0,0.0083852077072616,0.0250998697749143,0.00174845507321305,0.000630003462717658,0.000279379928035829,0.000885946154655514,0.0352968426768875
