,A,feb,mar,apr,s_bar,sq1,sq2,sq3,num,final
0,21563,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
1,21564,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
2,21565,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
3,21566,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
4,21567,0,0.0539614530501749,0.0515300417060205,0.0351638315853985,0.00123649505176627,0.000353350572733024,0.000267852833712351,0.000619232819403881,0.0176099358768688
5,21568,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
6,21569,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
7,21570,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
8,21571,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
9,21572,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
10,21573,0.0172968886285854,0,0.0515300417060205,0.0229423101115353,3.18707837201522E-05,0.000526349593253855,0.000817258397718327,0.000458492924897445,0.0199846014925461
11,21574,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
12,21575,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
13,21576,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
14,21577,0,0,0.0810218243970783,0.0270072747990261,0.00072939289207011,0.00072939289207011,0.00291757156828044,0.00145878578414022,0.0540145495980522
15,21578,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
16,21579,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
17,21580,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
18,21581,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
19,21582,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
20,21583,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
21,21584,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
22,21585,0,0.0539614530501749,0.0515300417060205,0.0351638315853985,0.00123649505176627,0.000353350572733024,0.000267852833712351,0.000619232819403881,0.0176099358768688
23,21586,0.0172968886285854,0.0539614530501749,0.0515300417060205,0.0409294611282603,0.000558498482952389,0.000169832813452848,0.000112372308585587,0.000280234534996941,0.00684676825132814
24,21587,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
25,21588,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
26,21589,0,0,0.0923754957988959,0.0307918319329653,0.000948136913787981,0.000948136913787981,0.00379254765515193,0.00189627382757596,0.0615836638659306
27,21590,0,0,0.0682024209893784,0.0227341403297928,0.000516841136534711,0.000516841136534711,0.00206736454613885,0.00103368227306942,0.0454682806595856
28,21591,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
29,21592,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
30,21593,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
31,21594,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
32,21595,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
33,21596,0,0,0.0953460443620514,0.0317820147873505,0.00101009646394336,0.00101009646394336,0.00404038585577345,0.00202019292788673,0.0635640295747009
34,21597,0,0,0.241324149356433,0.080441383118811,0.00647081611806733,0.00647081611806733,0.0258832644722693,0.0129416322361347,0.160882766237622
35,21598,0.0172968886285854,0,0.0953460443620514,0.0375476443302123,0.000410093106486973,0.00140982559474812,0.0033406550462405,0.00172019124915853,0.0458135598076495
36,21599,0.0172968886285854,0,0.0953460443620514,0.0375476443302123,0.000410093106486973,0.00140982559474812,0.0033406550462405,0.00172019124915853,0.0458135598076495
37,21600,0,0,0.0953460443620514,0.0317820147873505,0.00101009646394336,0.00101009646394336,0.00404038585577345,0.00202019292788673,0.0635640295747009
38,21601,0,0.18130767005007,0.0953460443620514,0.0922179048040405,0.00850414196644707,0.00793698627159265,9.78525709439282E-06,0.00548363783171137,0.0594639169406841
39,21602,0,0,0.0953460443620514,0.0317820147873505,0.00101009646394336,0.00101009646394336,0.00404038585577345,0.00202019292788673,0.0635640295747009
40,21603,0,0,0.111926207868241,0.0373087359560803,0.00139194177864052,0.00139194177864052,0.00556776711456209,0.00278388355728104,0.0746174719121607
41,21604,0,0,0.111926207868241,0.0373087359560803,0.00139194177864052,0.00139194177864052,0.00556776711456209,0.00278388355728104,0.0746174719121607
42,21605,0,0,0.0682024209893784,0.0227341403297928,0.000516841136534711,0.000516841136534711,0.00206736454613885,0.00103368227306942,0.0454682806595856
43,21606,0.165567337754084,0,0.0682024209893784,0.0779232529144875,0.00768148560737039,0.00607203334477518,9.44945733162197E-05,0.00461600450848726,0.0592378312742262
44,21607,0,0,0.0682024209893784,0.0227341403297928,0.000516841136534711,0.000516841136534711,0.00206736454613885,0.00103368227306942,0.0454682806595856
45,21608,0,0,0.0682024209893784,0.0227341403297928,0.000516841136534711,0.000516841136534711,0.00206736454613885,0.00103368227306942,0.0454682806595856
46,21609,0,0,0.0682024209893784,0.0227341403297928,0.000516841136534711,0.000516841136534711,0.00206736454613885,0.00103368227306942,0.0454682806595856
47,21610,0,0,0.0682024209893784,0.0227341403297928,0.000516841136534711,0.000516841136534711,0.00206736454613885,0.00103368227306942,0.0454682806595856
48,21611,0,0,0.0682024209893784,0.0227341403297928,0.000516841136534711,0.000516841136534711,0.00206736454613885,0.00103368227306942,0.0454682806595856
49,21612,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
50,21613,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
51,21614,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
52,21615,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
53,21616,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
54,21617,0,0,0.0515300417060205,0.0171766805686735,0.000295038355358246,0.000295038355358246,0.00118015342143298,0.000590076710716491,0.034353361137347
